,상품번호,상품이름,가격,날짜
0,999334384,일드프랑스 까망베르(125g),11930.0,2015-01-01
1,99781659,풀무원 옛두부 300g*2,3861.0,2015-01-01
2,996779248,피자소스(피자푸드 태원 2K),6170.0,2015-01-01
3,996514461,코리원[페스츄리도우 25X25(5개입)쌀도우/오곡도우/녹차곡물도우/9인치/12인치/임실/피자재료,9510.0,2015-01-01
4,996182902,월남쌈튀김겸용 원형22Cm 500g X 1 가공식품 쌈 월남,6540.0,2015-01-01
5,995175838,대상_국산찌개부침(기획)_300G*2,3980.0,2015-01-01
6,994706485,동원_수제 치즈돈까스_480G,7480.0,2015-01-01
7,992409023,이탈리안 라자니아_280G_Singles pride,4000.0,2015-01-01
8,986488146,월간비건 12월호,4500.0,2015-01-01
9,986025507, 쟌슨빌 김치 부대찌개 965g + 사리면 110g x 2,9980.0,2015-01-01
